Date;EUR-USD;USD-UAH;WTI;BalticDryIndex;PalmoilBursaMalaysia;PalmoilFOBRotterdam;SunseedEXW;SunseedEXWUAH;SunseedFOB;SunseedCPTSaintNazaire;SunseedCPTSaintNazaireUSD;SunoilEXW;SunoilFOB;SunoilFOBRotterdam;BasisSunseedEXW-FOB;BasisSunseed-SunoilEXW;BasisSunseedEXW-CPTSaintNazaire;BasisSunseedEXW-SunoilFOBRotterdam;BasisSunseedEXW-RapeseedEuronext;BasisSunoilEXW-FOB;BasisSunoilFOB-SunoilFOBRotterdam;SpreadSunoilFOB-PalmoilBursaMalaysia;RapeseedEXW;RapeseedEXWUAH;RapeseedFOB;RapeseedEuronext;RapeseedEuronextUSD;RapeseedCPTRouen;RapeseedCPTRouenUSD;RapeoilFOBRotterdam;BasisRapeseedEXW-FOB;BasisRapeseedEXW-Euronext;BasisRapeseedEXW-CPTRouen;BasisRapeseedEXW-RapeoilFOBRotterdam;SpreadSunseedEXW-RapeseedEXW;SoybeanEXW;SoybeanEXWUAH;SoybeanFOB;SoyoilFOBRotterdam;SoybeanCBOT;SoymealCBOT;SoyoilCBOT;BasisSoybeanEXW-FOB;BasisSoybeanEXW-CBOT;BasisSoyoilFOBRotterdam-SoyoilCBOT;CrushSpreadCBOT
06.09.2013;1,3179;8,155;110,53;1352,0;731,0;840,0;363,0;2960,3;485,0;495,0;652,4;901,0;875,0;965,0;-122,0;-538,0;-132,0;-602,0;-140,4;26,0;-90,0;144,0;0,0;0,0;0,0;382,0;503,4;438,0;577,2;995,0;0,0;0,0;0,0;0,0;0,0;457,0;3726,8;440,0;1045,0;528,0;438,7;1404,9;17,0;-71,0;-359,9;80,1
13.09.2013;1,3292;8,135;108,21;1636,0;717,8;815,0;369,0;3001,8;470,0;476,0;632,7;901,0;850,0;950,0;-101,0;-532,0;-107,0;-581,0;-130,8;51,0;-100,0;132,2;0,0;0,0;0,0;376,0;499,8;432,0;574,2;990,0;0,0;0,0;0,0;0,0;0,0;457,0;3717,7;440,0;1030,0;547,0;451,5;1367,9;17,0;-90,0;-337,9;64,6
20.09.2013;1,3522;8,155;104,68;1904,0;728,5;825,0;375,0;3058,1;440,0;519,0;701,8;888,0;860,0;950,0;-65,0;-513,0;-144,0;-575,0;-115,8;28,0;-90,0;131,5;0,0;0,0;0,0;363,0;490,8;438,0;592,3;1000,0;0,0;0,0;0,0;0,0;0,0;469,0;3824,7;440,0;1026,0;483,2;376,2;1363,7;29,0;-14,2;-337,7;67,3
27.09.2013;1,3521;8,159;102,87;2046,0;728,5;810,0;375,0;3059,6;420,0;510,0;689,6;888,0;880,0;980,0;-45,0;-513,0;-135,0;-605,0;-121,6;8,0;-100,0;151,5;0,0;0,0;0,0;367,3;496,6;450,0;608,4;977,0;0,0;0,0;0,0;0,0;0,0;457,0;3728,7;440,0;1012,0;484,9;382,1;1344,9;17,0;-27,9;-332,9;66,9
04.10.2013;1,3557;8,182;103,84;2084,0;735,5;810,0;375,0;3068,3;405,0;516,0;699,5;888,0;870,0;980,0;-30,0;-513,0;-141,0;-605,0;-123,9;18,0;-110,0;134,5;0,0;0,0;0,0;368,0;498,9;450,0;610,1;987,0;0,0;0,0;0,0;0,0;0,0;469,0;3837,4;440,0;955,0;475,8;392,5;1295,7;29,0;-6,8;-340,7;75,3
11.10.2013;1,3541;8,185;102,02;1985,0;748,8;840,0;375,0;3069,4;395,0;516,0;698,7;888,0;875,0;985,0;-20,0;-513,0;-141,0;-610,0;-129,7;13,0;-110,0;126,2;0,0;0,0;0,0;372,8;504,7;456,0;617,5;1015,0;0,0;0,0;0,0;0,0;0,0;469,0;3838,8;460,0;980,0;465,4;384,0;1299,6;9,0;3,6;-319,6;79,6
18.10.2013;1,3684;8,1825;100,81;1901,0;757,7;855,0;382,0;3125,7;370,0;507,0;693,8;888,0;885,0;990,0;12,0;-506,0;-125,0;-608,0;-135,3;3,0;-105,0;127,3;0,0;0,0;0,0;378,0;517,3;456,0;624,0;1015,0;0,0;0,0;0,0;0,0;0,0;469,0;3837,6;485,0;1004,0;474,4;373,2;1350,4;-16,0;-5,4;-346,4;71,3
25.10.2013;1,3804;8,173;97,85;1671,0;782,2;885,0;388,0;3171,1;380,0;488,0;673,6;888,0;915,0;1000,0;8,0;-500,0;-100,0;-612,0;-122,7;-27,0;-85,0;132,8;0,0;0,0;0,0;370,0;510,7;456,0;629,5;1035,0;0,0;0,0;0,0;0,0;0,0;475,0;3882,2;475,0;1008,0;477,6;385,4;1319,7;0,0;-2,6;-311,7;72,2
01.11.2013;1,3485;8,163;94,61;1525,0;835,6;940,0;394,0;3216,2;380,0;401,0;540,7;901,0;915,0;1000,0;14,0;-507,0;-7,0;-606,0;-113,0;-14,0;-85,0;79,4;0,0;0,0;0,0;376,0;507,0;404,0;544,8;1026,0;0,0;0,0;0,0;0,0;0,0;482,0;3934,6;480,0;999,0;465,1;359,4;1347,5;2,0;16,9;-348,5;69,0
08.11.2013;1,337;8,2;94,6;1581,0;789,6;915,0;400,0;3280,0;395,0;395,0;528,1;938,0;905,0;1000,0;5,0;-538,0;5,0;-600,0;-103,7;33,0;-95,0;115,4;0,0;0,0;0,0;376,8;503,7;401,0;536,1;1010,0;0,0;0,0;0,0;0,0;0,0;482,0;3952,4;480,0;988,0;479,8;384,3;1303,8;2,0;2,2;-315,8;66,2
